Character,Rating
M. Michelle,1611.82
Investigator,1608.8
Cocorn,1562.98
Zacky Wild,1561.24
Michelle,1542.86
Anna,1527.49
Nanatsu,1517.34
Hatoyan,1517.13
Rare,1515.92
Natanee,1514.41
Tsuki,1512.91
Gyanta,1488.01
Jakor,1440.7
Kyanta,1440.63
Chihiro,1433.99
Sendou,1353.03
Garasha,1350.73
