Character,Rating
Cocorn,1701.59
Zacky Wild,1696.93
Hatoyan,1664.69
M. Michelle,1649.29
Investigator,1648.85
Michelle,1645.42
Gyanta,1569.45
Chihiro,1560.53
Anna,1554.46
Robo Azuma,1520.54
Nanatsu,1518.17
Rare,1499.47
Tsuki,1407.35
Kyanta,1394.27
Sendou,1271.71
Garasha,1267.0
Myusha,1217.45
Natanee,1212.84
