Character,Rating
Cocorn,1635.29
Zacky Wild,1634.85
M. Michelle,1611.17
Investigator,1610.82
Michelle,1606.79
Hatoyan,1553.08
Robo Azuma,1526.6
Nanatsu,1526.23
Rare,1520.99
Anna,1507.77
Chihiro,1504.41
Gyanta,1465.98
Tsuki,1455.6
Kyanta,1446.03
Myusha,1324.78
Natanee,1324.19
Garasha,1303.56
Sendou,1303.37
