Player,Rating
Pnuema,1484.9080163994574
Timestop,1432.4519237373913
Valentine,1455.054815154556
Parappa,1500.8077665906278
Squid,1416.5238158078841
Dcint,1586.2346192746254
Jawn,1555.4878565206686
Cosmic,1563.6697465014372
Poke,1541.0363749045896
Tension,1463.8250651087626
